election_period,speaker,role,length_word,length_sentence,length_paragraph,length_utterance,utterance-paragraph,paragraph-sentence,sentence-word,unanchored,words_per_minute
ps2013,JanBartosek.1971,chair,6470370.0,7906990.0,10676370.0,12195520.0,0.12456623415811707,0.2593934080591062,0.18168987187286187,0.11682140906608411,90.0822597150429
ps2013,ZuzkaBebarovaRujbrova.1951,regular,200490.0,225070.0,241710.0,244150.0,0.00999385623592054,0.06884282818253279,0.10921046785444528,0.05841121495327103,105.18124104034405
ps2013,MarekCernoch.1969,regular,1555840.0,1760930.0,1951280.0,2018290.0,0.033201373439892184,0.09755135090812185,0.11646686693962849,0.0627867664815262,123.10421198142984
ps2013,PavelPlzak.1960,regular,69390.0,76600.0,84020.0,84520.0,0.005915759583530526,0.08831230659366818,0.09412532637075718,0.07207207207207207,157.59583530525322
ps2013,ZbynekStanjura.1964,regular,6213700.0,7296810.0,8364440.0,8545310.0,0.021165996318448364,0.1276391485861576,0.14843609741791275,0.12258832048828427,135.74463653161794
ps2013,KarelFiedler.1961,regular,999150.0,1158030.0,1249640.0,1269410.0,0.015574164375576054,0.07330911302455106,0.13719851817310433,0.06976744186046512,119.91397578402564
ps2013,PetrFiala.1964,regular,1840720.0,2080810.0,2196950.0,2231170.0,0.015337244584679787,0.05286419809281049,0.11538295183125802,0.06417686198755097,125.28852575106335
ps2013,JanHamacek.1978,chair,4196660.0,5465690.0,6735150.0,7816800.0,0.13837503837887627,0.18848281033087608,0.23218111528462096,0.0989663872385448,94.31225053730427
ps2013,KaterinaValachova.1976,regular,1942490.0,2340320.0,2490430.0,2543810.0,0.020984271624059973,0.06027473167284365,0.16998957407534013,0.13306451612903225,134.53834995538188
ps2013,JanZahradnik.1949,regular,1792760.0,2698040.0,2920360.0,3068730.0,0.04834899127652156,0.07612760070676218,0.33553246060102887,0.10676084762865792,96.8804684674116
ps2013,RichardBrabec.1966,regular,2796570.0,3564000.0,3814240.0,3913070.0,0.0252563843733948,0.0656067788078359,0.21532828282828284,0.07295694766692447,118.95519374813126
ps2013,PetrBendl.1966,regular,4611750.0,6678540.0,7097660.0,7377580.0,0.0379419809747912,0.059050447612311666,0.30946733866982906,0.08207080936563234,100.38251025403994
ps2013,VojtechFilip.1955,chair,6255810.0,8502620.0,11486980.0,12046440.0,0.04644193637290353,0.25980370819832543,0.2642491373247305,0.12921113827440225,83.53173219639993
ps2013,RomanVana.1966,regular,19590.0,20230.0,21910.0,21910.0,0.0,0.07667731629392971,0.03163618388531883,0.05263157894736842,156.09310816978547
ps2013,OndrejBenesik.1976,regular,136670.0,144800.0,164680.0,167430.0,0.016424774532640508,0.12071897012387661,0.056146408839779005,0.0621301775147929,121.12524637161798
ps2013,JanaHnykova.1963,regular,1470790.0,1593110.0,1738000.0,1775400.0,0.021065675340768277,0.08336593785960875,0.0767806366164295,0.05460030165912519,112.03109158499493
ps2013,MartaSemelova.1960,regular,1127060.0,1412020.0,1514070.0,1538920.0,0.016147687988979285,0.06740111091296967,0.2018101726604439,0.05666041275797373,103.90403659709406
ps2013,StanislavMackovik.1967,regular,107600.0,125730.0,133850.0,134980.0,0.008371610608979108,0.060664923421740756,0.14419788435536468,0.07666666666666666,133.35308934656987
ps2013,JiriValenta.1965,regular,165270.0,173450.0,190640.0,194540.0,0.02004729104554333,0.09016995383969786,0.047160565004324015,0.06639004149377593,148.6583735992598
ps2013,DanTok.1959,regular,1446360.0,1738540.0,1864820.0,1903540.0,0.020341048782794163,0.06771699145225812,0.16806055655895177,0.06048028461310406,106.31770280635028
ps2013,MarketaPekarovaAdamova.1984,regular,314220.0,336710.0,367230.0,373760.0,0.017471104452054794,0.08310867848487324,0.06679338302990705,0.0691609977324263,141.58818493150685
ps2013,JaroslavaPokornaJermanova.1970,chair,3837360.0,4549050.0,5637150.0,6435950.0,0.1241153209704861,0.19302307016843617,0.15644804959277211,0.0878520386717108,88.71417584039652
ps2013,KarlaSlechtova.1977,regular,1369830.0,1475620.0,1583060.0,1614240.0,0.01931559123798196,0.06786855836165401,0.07169189899838711,0.05286588759042849,133.58608385370206
ps2013,AntoninSeda.1960,regular,387100.0,422690.0,476000.0,479840.0,0.008002667555851951,0.11199579831932772,0.08419882183160235,0.061010486177311724,131.1687229076359
ps2013,BohuslavChalupa.1960,regular,231420.0,245480.0,271350.0,272300.0,0.00348879911861917,0.09533812419384559,0.05727554179566564,0.04900459418070444,143.88542049210432
ps2013,DanielHerman.1963,regular,948970.0,1008800.0,1083270.0,1108980.0,0.023183465887572363,0.06874555743258837,0.059308088818398094,0.06611969111969113,112.10301358004652
ps2013,MiroslavaNemcova.1952,regular,887310.0,978960.0,1033690.0,1055550.0,0.020709582682014116,0.052946241136123985,0.09361975974503554,0.060109289617486336,135.22808014779028
ps2013,IvanGabal.1951,regular,231810.0,271920.0,315980.0,325840.0,0.030260250429658728,0.1394392050129755,0.14750661959399824,0.0825242718446602,113.79818315737786
ps2013,VeraKovarova.1964,regular,1242680.0,1397400.0,1563660.0,1607240.0,0.027114805505089466,0.10632746249184605,0.11071990840131674,0.05377456049638056,108.29745402055698
ps2013,SimeonKaramazov.1963,regular,1041140.0,1091500.0,1219220.0,1252990.0,0.02695153193561002,0.10475549941766048,0.04613834173156207,0.03847576766555679,129.4343929321064
ps2013,MartinNovotny.1972,regular,468730.0,560630.0,590340.0,595930.0,0.00938029634353028,0.05032693024358844,0.16392272978613345,0.08138528138528138,116.28882586881011
