id	surname	forename	sex	birth	picture	
FrantisekElfmark.1978	Elfmark	František	M	1978-10-19	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6446.jpg
FrantisekKopriva.1995	Kopřiva	František	M	1995-11-30	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6499.jpg
FrantisekLaudat.1960	Laudát	František	M	1960-03-13	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5476.jpg
FrantisekLukl.1977	Lukl	František	M	1977-10-30	
FrantisekNavrkal.1992	Navrkal	František	M	1992-09-15	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6624.jpg
FrantisekPetrtyl.1959	Petrtýl	František	M	1959-03-09	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6409.jpg
FrantisekVacha.1966	Vácha	František	M	1966-09-11	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6137.jpg
GabrielaHubackova.1975	Hubáčková	Gabriela	F	1975-01-28	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5920.jpg
GabrielaPeckova.1957	Pecková	Gabriela	F	1957-01-19	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i5955.jpg
HanaAulickaJirovcova.1981	Aulická Jírovcová	Hana	F	1981-04-07	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6149.jpg
HanaZakova	Žáková	Hana	F		
HelenaLangsadlova.1963	Langšádlová	Helena	F	1963-10-14	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i5943.jpg
HelenaValkova.1951	Válková	Helena	F	1951-01-07	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6168.jpg
HerbertPavera.1958	Pavera	Herbert	M	1958-01-04	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6227.jpg
IgorJakubcik.1967	Jakubčík	Igor	M	1967-05-12	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6113.jpg
IgorNykl.1963	Nykl	Igor	M	1963-09-11	https://www.psp.cz/eknih/cdrom/2013ps/eknih/2013ps/poslanci/i6174.jpg
IljaSmid.1952	Šmíd	Ilja	M	1952-02-14	
IlonaMauritzova.1959	Mauritzová	Ilona	F	1959-12-29	https://www.psp.cz/eknih/cdrom/2017ps/eknih/2017ps/poslanci/i6470.jpg
