id	word	start	end	absolute	audio_id	audio_source	audio_url	speaker	role
ps2017-002-01-018-017.u1.p1.s1.w1	17	113650.0	114720.0	2017-11-28T19:28:00	ps2017-002-01-018-017.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112819281942.mp3	2017ps/audio/2017/11/28/2017112819281942.mp3	VojtechPikal.1987	chair
ps2017-002-01-018-017.u1.p1.s2.w1	Návrh	115950.0	116790.0	2017-11-28T19:28:00	ps2017-002-01-018-017.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112819281942.mp3	2017ps/audio/2017/11/28/2017112819281942.mp3	VojtechPikal.1987	chair
ps2017-002-01-018-017.u1.p1.s2.w2	na	116800.0	117050.0	2017-11-28T19:28:00	ps2017-002-01-018-017.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112819281942.mp3	2017ps/audio/2017/11/28/2017112819281942.mp3	VojtechPikal.1987	chair
ps2017-002-01-018-017.u1.p1.s2.w3	úhradu	117060.0	117450.0	2017-11-28T19:28:00	ps2017-002-01-018-017.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112819281942.mp3	2017ps/audio/2017/11/28/2017112819281942.mp3	VojtechPikal.1987	chair
ps2017-002-01-018-017.u1.p1.s2.w4	volebních	117460.0	117860.0	2017-11-28T19:28:00	ps2017-002-01-018-017.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112819281942.mp3	2017ps/audio/2017/11/28/2017112819281942.mp3	VojtechPikal.1987	chair
ps2017-002-01-018-017.u1.p1.s2.w5	nákladů	117870.0	118240.0	2017-11-28T19:28:00	ps2017-002-01-018-017.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112819281942.mp3	2017ps/audio/2017/11/28/2017112819281942.mp3	VojtechPikal.1987	chair
ps2017-002-01-018-017.u1.p1.s2.w6	politickým	118250.0	118790.0	2017-11-28T19:28:00	ps2017-002-01-018-017.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112819281942.mp3	2017ps/audio/2017/11/28/2017112819281942.mp3	VojtechPikal.1987	chair
ps2017-002-01-018-017.u1.p1.s2.w7	stranám	118800.0	119160.0	2017-11-28T19:28:00	ps2017-002-01-018-017.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112819281942.mp3	2017ps/audio/2017/11/28/2017112819281942.mp3	VojtechPikal.1987	chair
ps2017-002-01-018-017.u1.p1.s2.w9	politickým	119170.0	119650.0	2017-11-28T19:28:00	ps2017-002-01-018-017.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112819281942.mp3	2017ps/audio/2017/11/28/2017112819281942.mp3	VojtechPikal.1987	chair
ps2017-002-01-018-017.u1.p1.s2.w10	hnutím	119660.0	119950.0	2017-11-28T19:28:00	ps2017-002-01-018-017.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112819281942.mp3	2017ps/audio/2017/11/28/2017112819281942.mp3	VojtechPikal.1987	chair
ps2017-002-01-018-017.u1.p1.s2.w11	a							VojtechPikal.1987	chair
ps2017-002-01-018-017.u1.p1.s2.w12	koalicím	120020.0	120610.0	2017-11-28T19:28:00	ps2017-002-01-018-017.audio1	https://www.psp.cz/eknih/2017ps/audio/2017/11/28/2017112819281942.mp3	2017ps/audio/2017/11/28/2017112819281942.mp3	VojtechPikal.1987	chair
