speaker,role,election_period,word,sentence,paragraph,utterance,continuous,word_count,no_anchor
VojtechFilip.1955,chair,ps2013,66610.0,155700.0,169120.0,169120.0,169120.0,181,19
MiroslavKalousek.1960,regular,ps2013,120250.0,135290.0,146840.0,146840.0,146840.0,328,28
LeosHeger.1948,regular,ps2013,84950.0,100910.0,108540.0,108540.0,108540.0,188,10
MiloslavJanulik.1962,regular,ps2013,48220.0,51270.0,64260.0,64920.0,64920.0,174,12
RomKostrica.1949,regular,ps2013,28250.0,34450.0,36510.0,36510.0,36510.0,94,7
JanVolny.1959,regular,ps2013,35330.0,38360.0,42890.0,42890.0,42890.0,109,10
VaclavVotava.1956,regular,ps2013,33610.0,43150.0,46840.0,47900.0,47900.0,79,1
LudvikHovorka.1963,regular,ps2013,26940.0,29670.0,30790.0,31490.0,31490.0,75,9
