speaker,role,audio_start,audio_end,word,sentence,paragraph,utterance,continuous
JanHamacek.1978,chair,2016-03-02T14:48:00,2016-03-02T15:02:00,24590.0,28540.0,39770.0,39770.0,39770.0
DanielKorte.1953,regular,2016-03-02T14:48:00,2016-03-02T15:02:00,17940.0,19120.0,28580.0,28580.0,28580.0
JiriKoubek.1976,regular,2016-03-02T14:48:00,2016-03-02T15:02:00,72670.0,79890.0,85840.0,87800.0,87800.0
JosefNekl.1953,regular,2016-03-02T14:48:00,2016-03-02T15:02:00,46520.0,56240.0,64500.0,65480.00000000001,65480.00000000001
JaroslavZavadil.1944,regular,2016-03-02T14:48:00,2016-03-02T15:02:00,16470.0,23520.0,24710.0,24720.0,24720.0
IvanAdamec.1960,regular,2016-03-02T14:48:00,2016-03-02T15:02:00,18860.0,20180.0,24190.0,25740.0,25740.0
IvanPilny.1944,regular,2016-03-02T14:48:00,2016-03-02T15:02:00,79780.0,90020.0,99340.0,102520.0,102520.0
VeraKovarova.1964,regular,2016-03-02T14:48:00,2016-03-02T15:02:00,35550.0,38190.0,47190.0,47190.0,47190.0
