speaker,role,election_period,meeting,sitting,agenda,word,sentence,paragraph,utterance,continuous,word_count,no_anchor
PetrGazdik.1974,chair,ps2013,042,02,151,40950.0,43660.0,50300.0,52930.0,52930.0,118,10
PetrFiala.1964,regular,ps2013,042,02,151,39660.0,47910.0,50450.0,51880.0,51880.0,93,4
PetrGazdik.1974,chair,ps2013,42,2,150,157860.0,163630.0,198640.0,246600.0,246600.0,426,36
RomanKubicek.1963,regular,ps2013,42,2,150,64890.0,71880.0,79920.0,86190.0,86190.0,172,16
RomanKubicek.1963,regular,ps2013,42,2,149,48140.0,136970.0,139230.0,148220.0,148220.0,124,10
VojtechFilip.1955,chair,ps2013,42,2,149,15820.0,19450.0,21810.0,22230.0,22230.0,51,7
ZbynekStanjura.1964,regular,ps2013,42,2,149,14500.0,17850.0,22180.0,22180.0,22180.0,59,13
PetrGazdik.1974,chair,ps2013,42,2,149,4230.0,3890.0,4280.0,4280.0,4280.0,14,0
