speaker,role,election_period,meeting,sitting,agenda,word,sentence,paragraph,utterance,continuous,word_count,no_anchor
JaroslavaPokornaJermanova.1970,chair,ps2013,042,09,017,46300.0,39730.0,77000.0,77000.0,77000.0,127,8
MiroslavOpalka.1952,regular,ps2013,042,09,017,29880.0,31900.0,34780.0,34780.0,34780.0,68,7
VaclavVotava.1956,regular,ps2013,042,09,017,40090.0,49480.0,51350.0,52480.0,52480.0,112,5
ZbynekStanjura.1964,regular,ps2013,042,09,017,123700.0,133680.0,155070.0,160850.0,160850.0,421,49
IvoPojezny.1961,regular,ps2013,042,09,017,44920.0,48960.0,54670.0,54670.0,54670.0,116,7
MilanBrazdil.1962,regular,ps2013,042,09,017,49120.0,49170.0,59350.0,62320.0,62320.0,159,14
MiroslavKalousek.1960,regular,ps2013,042,09,017,76120.0,87080.0,93510.0,94940.0,94940.0,184,9
KaterinaValachova.1976,regular,ps2013,042,09,017,43280.0,50240.0,52060.0,52060.0,52060.0,141,17
