id	word	start	end	absolute	audio_id	audio_source	audio_url	speaker	role
ps2013-042-02-001-149.u1.p1.s1.w1	149	322820.0	323710.0	2016-03-02T08:58:00	ps2013-042-02-001-149.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/02/2016030208580912.mp3	2013ps/audio/2016/03/02/2016030208580912.mp3	VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w1	Vládní	323720.0	324150.0	2016-03-02T08:58:00	ps2013-042-02-001-149.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/02/2016030208580912.mp3	2013ps/audio/2016/03/02/2016030208580912.mp3	VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w2	návrh	324160.0	324480.0	2016-03-02T08:58:00	ps2013-042-02-001-149.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/02/2016030208580912.mp3	2013ps/audio/2016/03/02/2016030208580912.mp3	VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w3	zákona	324490.0	324890.0	2016-03-02T08:58:00	ps2013-042-02-001-149.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/02/2016030208580912.mp3	2013ps/audio/2016/03/02/2016030208580912.mp3	VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w5	kterým	324900.0	325170.0	2016-03-02T08:58:00	ps2013-042-02-001-149.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/02/2016030208580912.mp3	2013ps/audio/2016/03/02/2016030208580912.mp3	VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w6	se	325180.0	325310.0	2016-03-02T08:58:00	ps2013-042-02-001-149.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/02/2016030208580912.mp3	2013ps/audio/2016/03/02/2016030208580912.mp3	VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w7	mění	325320.0	325590.0	2016-03-02T08:58:00	ps2013-042-02-001-149.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/02/2016030208580912.mp3	2013ps/audio/2016/03/02/2016030208580912.mp3	VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w8	zákon	325600.0	325950.0	2016-03-02T08:58:00	ps2013-042-02-001-149.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/02/2016030208580912.mp3	2013ps/audio/2016/03/02/2016030208580912.mp3	VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w9	č	325960.0	326250.0	2016-03-02T08:58:00	ps2013-042-02-001-149.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/02/2016030208580912.mp3	2013ps/audio/2016/03/02/2016030208580912.mp3	VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w11	218							VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w13	2000							VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w14	Sb							VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w17	o	326260.0	326430.0	2016-03-02T08:58:00	ps2013-042-02-001-149.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/02/2016030208580912.mp3	2013ps/audio/2016/03/02/2016030208580912.mp3	VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w18	rozpočtových	328420.0	329050.0	2016-03-02T08:58:00	ps2013-042-02-001-149.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/02/2016030208580912.mp3	2013ps/audio/2016/03/02/2016030208580912.mp3	VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w19	pravidlech	329060.0	329550.0	2016-03-02T08:58:00	ps2013-042-02-001-149.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/02/2016030208580912.mp3	2013ps/audio/2016/03/02/2016030208580912.mp3	VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w20	a							VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w21	o							VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w22	změně	329560.0	329970.0	2016-03-02T08:58:00	ps2013-042-02-001-149.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/02/2016030208580912.mp3	2013ps/audio/2016/03/02/2016030208580912.mp3	VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w23	některých	329980.0	330210.0	2016-03-02T08:58:00	ps2013-042-02-001-149.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/02/2016030208580912.mp3	2013ps/audio/2016/03/02/2016030208580912.mp3	VojtechFilip.1955	chair
ps2013-042-02-001-149.u1.p1.s2.w24	souvisejících	330220.0	330830.0	2016-03-02T08:58:00	ps2013-042-02-001-149.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/02/2016030208580912.mp3	2013ps/audio/2016/03/02/2016030208580912.mp3	VojtechFilip.1955	chair
