id	word	start	end	absolute	audio_id	audio_source	audio_url	speaker	role
ps2013-042-10-000-000.u1.p1.s1.w1	Vážené	176700.0	179770.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w2	paní							JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w3	poslankyně							JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w5	vážení							JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w6	páni							JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w7	poslanci	180050.0	180900.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w9	vážení	181920.0	182320.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w10	členové	182330.0	182710.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w11	vlády	182720.0	183320.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w13	zahajuji	184850.0	185200.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w14	další	185210.0	185520.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w15	jednací	185530.0	185890.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w16	den	185900.0	186050.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w17	42	186060.0	186720.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w19	schůze	186950.0	187260.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w20	Poslanecké	187270.0	187840.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w21	sněmovny	187850.0	188320.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w22	a	188330.0	188390.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w23	všechny	188400.0	188680.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w24	vás	188690.0	188990.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p1.s1.w25	vítám	189000.0	189690.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w1	Prosím	191120.0	191480.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w3	abyste	191490.0	191780.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w6	se	191790.0	191930.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w7	všichni	191940.0	192260.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w8	přihlásili	192270.0	192930.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w9	identifikačními	192940.0	193700.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w10	partami	193710.0	194500.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w11	a	194770.0	194850.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w12	případně	194860.0	195310.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w13	mi	195320.0	195390.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w14	oznámili	195400.0	195980.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w16	kdo	195990.0	196100.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w17	žádá	196110.0	196540.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w18	o							JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w19	vydání	196550.0	197010.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w20	náhradní	197020.0	197500.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s1.w21	karty	197510.0	198090.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s2.w1	Náhradní	200240.0	200730.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s2.w2	kartu	200740.0	201080.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s2.w3	dnes	201090.0	201380.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s2.w4	má	201390.0	201580.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s2.w5	pan	201590.0	201770.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s2.w6	poslanec	201780.0	202230.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s2.w7	Velebný	202240.0	202680.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s2.w9	kartu	202690.0	202960.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s2.w10	číslo	202970.0	203350.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s2.w11	3	203360.0	203680.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s2.w13	a	203690.0	204280.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
ps2013-042-10-000-000.u1.p2.s2.w14	kartu	204290.0	204560.0	2016-03-23T08:58:00	ps2013-042-10-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/23/2016032308580912.mp3	2013ps/audio/2016/03/23/2016032308580912.mp3	JanBartosek.1971	chair
