id	word	start	end	absolute	audio_id	audio_source	audio_url	speaker	role
ps2013-042-07-022-215.u1.p1.s1.w1	215	663430.0	665090.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p1.s2.w1	Zpráva	666330.0	667000.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p1.s2.w2	o							VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p1.s2.w3	vývoji	667010.0	667420.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p1.s2.w4	malého	667430.0	667810.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p1.s2.w5	a	667820.0	667850.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p1.s2.w6	středního	667860.0	668260.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p1.s2.w7	podnikání	668270.0	668930.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p1.s2.w8	a	668940.0	668960.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p1.s2.w9	jeho	668970.0	669170.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p1.s2.w10	podpoře	669180.0	669580.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p1.s2.w11	v							VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p1.s2.w12	roce	669590.0	669890.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p1.s2.w13	2014	669900.0	671340.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p1.s2.w15	sněmovní	671800.0	672290.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p1.s2.w16	tisk	672300.0	672570.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p1.s2.w17	640	672580.0	673630.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s1.w1	Tento	673640.0	673900.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s1.w2	materiál	673910.0	674590.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s1.w3	uvede	674600.0	675030.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s1.w4	ministr	675750.0	676180.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s1.w5	průmyslu	676190.0	676530.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s1.w6	a	676540.0	676560.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s1.w7	obchodu	676570.0	677010.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s1.w8	Jan	677020.0	677210.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s1.w9	Mládek	677220.0	677880.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s2.w1	Požádám	678470.0	679220.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s2.w2	zároveň	679270.0	679710.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s2.w4	než	679720.0	679980.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s2.w5	se							VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s2.w6	pan	680130.0	680410.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s2.w7	ministr	680420.0	681050.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s2.w8	ujme	681670.0	682000.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s2.w9	slova	682010.0	682510.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
ps2013-042-07-022-215.u1.p2.s2.w11	aby	682520.0	682800.0	2016-03-10T12:38:00	ps2013-042-07-022-215.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/10/2016031012381252.mp3	2013ps/audio/2016/03/10/2016031012381252.mp3	VojtechFilip.1955	chair
