id	word	start	end	absolute	audio_id	audio_source	audio_url	speaker	role
ps2013-042-09-003-017.u1.p1.s1.w1	17	254070.0	254630.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w1	Vládní	255080.0	255510.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w2	návrh	255520.0	255890.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w3	zákona	255900.0	256430.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w5	kterým	256440.0	256750.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w6	se	256760.0	256890.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w7	mění	256900.0	257230.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w8	zákon	257240.0	257660.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w9	č	257670.0	258120.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w11	115	258130.0	258430.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w13	2001							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w14	Sb							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w17	o	258440.0	258610.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w18	podpoře	260330.0	260910.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w19	sportu	260920.0	261390.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w21	ve	261400.0	261520.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w22	znění	261530.0	261900.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w23	pozdějších	261910.0	262430.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w24	předpisů	262440.0	263150.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w26	a	263490.0	263550.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w27	další	263560.0	263960.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w28	související	263970.0	264690.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w29	zákony	264700.0	265190.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w31	sněmovní	265200.0	265760.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w32	tisk	265770.0	266080.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w33	590	266090.0	266990.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w36	druhé	267000.0	267300.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p1.s2.w37	čtení	267310.0	267820.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p2.s1.w1	Z							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p2.s1.w2	pověření	268190.0	268820.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p2.s1.w3	vlády	268830.0	269130.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-003-017.u1.p2.s1.w4	předložený	269140.0	269710.0	2016-03-22T14:48:00	ps2013-042-09-003-017.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032214481502.mp3	2013ps/audio/2016/03/22/2016032214481502.mp3	JaroslavaPokornaJermanova.1970	chair
