id	word	start	end	absolute	audio_id	audio_source	audio_url	speaker	role
ps2013-042-09-000-000.u1.p1.s1.w1	Vážené	150010.0	150500.0	2016-03-22T13:58:00	ps2013-042-09-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032213581412.mp3	2013ps/audio/2016/03/22/2016032213581412.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w2	paní	150510.0	150760.0	2016-03-22T13:58:00	ps2013-042-09-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032213581412.mp3	2013ps/audio/2016/03/22/2016032213581412.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w3	poslankyně	150770.0	151740.0	2016-03-22T13:58:00	ps2013-042-09-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032213581412.mp3	2013ps/audio/2016/03/22/2016032213581412.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w5	vážení	151750.0	152280.0	2016-03-22T13:58:00	ps2013-042-09-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032213581412.mp3	2013ps/audio/2016/03/22/2016032213581412.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w6	páni	152290.0	152620.0	2016-03-22T13:58:00	ps2013-042-09-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032213581412.mp3	2013ps/audio/2016/03/22/2016032213581412.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w7	poslanci	152630.0	153170.0	2016-03-22T13:58:00	ps2013-042-09-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032213581412.mp3	2013ps/audio/2016/03/22/2016032213581412.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w9	vážení	160290.0	161240.0	2016-03-22T13:58:00	ps2013-042-09-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032213581412.mp3	2013ps/audio/2016/03/22/2016032213581412.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w10	členové							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w11	vlády							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w13	zahajuji							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w14	další							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w15	jednací							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w16	den							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w17	přerušené							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w18	42							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w20	schůze							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w21	Poslanecké							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w22	sněmovny							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w23	a							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w24	všechny							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w25	vás							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p1.s1.w26	vítám	161590.0	161870.0	2016-03-22T13:58:00	ps2013-042-09-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032213581412.mp3	2013ps/audio/2016/03/22/2016032213581412.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p2.s1.w1	Prosím	162270.0	162680.0	2016-03-22T13:58:00	ps2013-042-09-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032213581412.mp3	2013ps/audio/2016/03/22/2016032213581412.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p2.s1.w3	abyste	163150.0	163380.0	2016-03-22T13:58:00	ps2013-042-09-000-000.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/22/2016032213581412.mp3	2013ps/audio/2016/03/22/2016032213581412.mp3	JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p2.s1.w6	se							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p2.s1.w7	všichni							JaroslavaPokornaJermanova.1970	chair
ps2013-042-09-000-000.u1.p2.s1.w8	přihlásili							JaroslavaPokornaJermanova.1970	chair
