id	word	start	end	absolute	audio_id	audio_source	audio_url	speaker	role
ps2013-042-06-011-036.u1.p1.s1.w1	36	285490.0	286980.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w1	Vládní	302840.0	303120.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w2	návrh	303130.0	303430.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w3	zákona	303440.0	303780.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w5	kterým	303790.0	304030.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w6	se	304040.0	304150.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w7	mění	304160.0	304360.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w8	zákon	304370.0	304700.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w9	č	304710.0	304980.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w11	143	304990.0	305590.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w13	2001							VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w14	Sb	305600.0	305750.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w17	o	306790.0	306930.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w18	ochraně	307060.0	307520.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w19	hospodářské	307530.0	308100.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w20	soutěže	308110.0	308600.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w21	a							VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w22	o							VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w23	změně	308610.0	308880.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w24	některých	308890.0	309130.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
ps2013-042-06-011-036.u1.p1.s2.w25	zákonů	309140.0	309900.0	2016-03-09T16:58:00	ps2013-042-06-011-036.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030916581712.mp3	2013ps/audio/2016/03/09/2016030916581712.mp3	VojtechFilip.1955	chair
