id	word	start	end	absolute	audio_id	audio_source	audio_url	speaker	role
ps2013-042-06-008-051.u1.p1.s1.w1	51							JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w1	Vládní	537230.0	537560.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w2	návrh	537570.0	537900.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w3	zákona	537910.0	538350.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w5	kterým	538360.0	538640.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w6	se	538650.0	538780.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w7	mění	538790.0	539000.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w8	zákon	539010.0	539380.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w9	č	539390.0	539710.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w11	155							JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w13	1995							JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w14	Sb							JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w17	o	539720.0	539950.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w18	důchodovém	543060.0	543760.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w19	pojištění	543770.0	544360.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w21	ve	544370.0	544480.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w22	znění	544490.0	544820.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w23	pozdějších	544830.0	545310.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w24	předpisů	545320.0	545890.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w26	a	545900.0	545940.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w27	další	545950.0	546250.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w28	související	546260.0	546860.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w29	zákony	546870.0	547490.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w31	sněmovní	548110.0	548560.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w32	tisk	548570.0	548780.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w33	725	548790.0	549570.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w36	prvé	550420.0	550670.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w37	čtení	550680.0	551140.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w38	podle	551150.0	551410.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w39	§	551420.0	551950.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
ps2013-042-06-008-051.u1.p1.s2.w40	90	551960.0	552530.0	2016-03-09T15:38:00	ps2013-042-06-008-051.audio1	https://www.psp.cz/eknih/2013ps/audio/2016/03/09/2016030915381552.mp3	2013ps/audio/2016/03/09/2016030915381552.mp3	JanBartosek.1971	chair
