speaker,unanchored,words_per_minute
ZuzkaBebarovaRujbrova.1951,0.05841121495327103,105.18124104034405
MarekCernoch.1969,0.0627867664815262,123.10421198142984
PavelPlzak.1960,0.07207207207207207,157.59583530525322
ZbynekStanjura.1964,0.12258832048828427,135.74463653161794
KarelFiedler.1961,0.06976744186046512,119.91397578402564
PetrFiala.1964,0.06417686198755097,125.28852575106335
KaterinaValachova.1976,0.13306451612903225,134.53834995538188
JanZahradnik.1949,0.10676084762865792,96.8804684674116
RichardBrabec.1966,0.07295694766692447,118.95519374813126
PetrBendl.1966,0.08207080936563234,100.38251025403994
RomanVana.1966,0.05263157894736842,156.09310816978547
OndrejBenesik.1976,0.0621301775147929,121.12524637161798
JanaHnykova.1963,0.05460030165912519,112.03109158499493
MartaSemelova.1960,0.05666041275797373,103.90403659709406
StanislavMackovik.1967,0.07666666666666666,133.35308934656987
JiriValenta.1965,0.06639004149377593,148.6583735992598
DanTok.1959,0.06048028461310406,106.31770280635028
MarketaPekarovaAdamova.1984,0.0691609977324263,141.58818493150685
KarlaSlechtova.1977,0.05286588759042849,133.58608385370206
AntoninSeda.1960,0.061010486177311724,131.1687229076359
BohuslavChalupa.1960,0.04900459418070444,143.88542049210432
DanielHerman.1963,0.06611969111969113,112.10301358004652
MiroslavaNemcova.1952,0.060109289617486336,135.22808014779028
IvanGabal.1951,0.0825242718446602,113.79818315737786
VeraKovarova.1964,0.05377456049638056,108.29745402055698
SimeonKaramazov.1963,0.03847576766555679,129.4343929321064
MartinNovotny.1972,0.08138528138528138,116.28882586881011
AdolfBeznoska.1961,0.0531767955801105,114.41213653603033
LudvikHovorka.1963,0.076018549188473,111.77376210589321
JiriMihola.1972,0.07966040462427745,105.21514368253003
PavelBlazek.1969,0.10687022900763359,158.6596689543803
MilanChovanec.1970,0.07561436672967864,128.43269490153764
PavelHolik.1957,0.1016949152542373,130.1071975497703
RomanSklenak.1970,0.07314814814814814,129.25617856501705
MichaelaMarksova.1969,0.059178743961352656,117.363571934798
VaclavKlucka.1953,0.0737527114967462,107.42999184370993
VlastimilGabrhel.1978,0.030303030303030304,119.54716981132074
VladimirKonicek.1964,0.04067796610169491,113.96561715279118
MiroslavGrebenicek.1947,0.025684931506849314,81.7755373520969
TomioOkamura.1972,0.31770190593720005,122.92850661445149
JitkaChalankova.1957,0.04477611940298507,120.2117161568135
JanMladek.1960,0.10481770833333333,116.57116836792774
JanaPastuchova.1965,0.07819905213270142,107.51592356687898
LeoLuzar.1964,0.07848443843031123,122.8731363963864
IgorJakubcik.1967,0.10880829015544041,130.54506510343273
MiloslavaVostra.1965,0.13934426229508196,106.31036235567497
ReneCip.1974,0.07092198581560284,118.28859060402685
JanaCernochova.1973,0.047619047619047616,114.72998529102752
VlastimilVozka.1954,0.05303030303030303,82.92759541385267
VaclavVotava.1956,0.06180939226519337,107.57467884228447
MartinStropnicky.1956,0.07445708376421924,113.47545472325446
RadimHolecek.1976,0.060650887573964495,150.15548645046647
PavelSramek.1965,0.11055276381909548,114.35686236950484
JosefKott.1970,0.05756578947368421,88.20969145952219
HelenaLangsadlova.1963,0.05263157894736842,118.56925418569256
PavlaGolasowska.1964,0.07133917396745933,123.48668280871671
MariePencikova.1979,0.05172413793103448,161.5786419036564
JanaFischerova.1955,0.06526806526806526,110.69539414269126
NinaNovakova.1954,0.04434782608695652,108.8173603116277
FrantisekLaudat.1960,0.06909894969596463,115.56582428756235
DanielKorte.1953,0.08682634730538923,114.44235052252868
RobinBohnisch.1976,0.10344827586206896,100.8695652173913
JanKlan.1982,0.08042959427207637,126.47338474773238
MarianJurecka.1981,0.14406908044235722,119.04633086259446
JanChvojka.1980,0.10366328916601715,150.11700468018722
SonaMarkova.1963,0.05228031145717464,105.47310377192467
KarelRais.1949,0.08814270724029381,112.33350359514361
MiloslavJanulik.1962,0.11910112359550562,139.73570587465656
VladislavVilimec.1963,0.11666666666666667,101.56389591581483
GabrielaPeckova.1957,0.07931034482758621,100.34602076124567
JiriJunek.1973,0.11558538404175989,135.50245036123883
KvetaMatusovska.1984,0.07037037037037037,107.33452593917708
RomanKubicek.1963,0.09249183895538629,110.45451813865907
IvanPilny.1944,0.08582326764144946,142.0850583364697
PetrKudela.1969,0.08126293995859213,100.78597760311608
StepanStupcuk.1976,0.05465191932335719,114.27226091051027
IvanAdamec.1960,0.19000581057524696,108.13244811192325
MartinKolovratnik.1975,0.06103286384976526,141.68339882484818
PavelKovacik.1955,0.07794173287930382,115.34349201731098
MiroslavKalousek.1960,0.08030773383722499,118.80949962850318
LeosHeger.1948,0.05448985265499027,97.8611298784331
JiriStetina.1941,0.06238779174147217,107.17807691999327
JanaLorencova.1940,0.13414634146341464,112.14953271028038
VitezslavJandak.1947,0.019230769230769232,110.2863202545069
FrantisekVacha.1966,0.04996837444655281,95.75144596190533
HerbertPavera.1958,0.18047469771607702,134.8565676899849
JosefHajek.1956,0.08266129032258064,132.3902308821567
VaclavZemek.1974,0.12185602775368604,129.87403082583964
ZdenekSoukup.1952,0.08749356664951106,116.9284467713787
ZuzanaKailova.1974,0.9438202247191011,3169.1394658753707
LadislavOklestek.1961,0.04838709677419355,126.0233753034837
RomKostrica.1949,0.09100418410041841,127.09667412643194
JanVolny.1959,0.07246376811594203,123.52309344790547
RomanProchazka.1968,0.10054347826086957,125.31925761961519
MartinaBerdychova.1971,0.03773584905660377,139.6881177245772
JiriSkalicky.1954,0.0635881907645723,101.88577378427365
JaroslavZavadil.1944,0.32903225806451614,116.49512515918913
