speaker,role,election_period,meeting,sitting,agenda,word,sentence,paragraph,utterance,continuous,word_count,no_anchor
JanBartosek.1971,chair,ps2013,042,07,212,9270.0,9860.0,14170.0,14270.0,14270.0,28,6
JanBartosek.1971,chair,ps2013,42,7,213,63820.0,66830.0,102780.0,109160.0,109160.0,174,18
ZuzkaBebarovaRujbrova.1951,regular,ps2013,42,7,213,69870.0,82220.0,86820.0,88170.0,88170.0,137,8
MarekCernoch.1969,regular,ps2013,42,7,213,92630.0,98860.0,109930.0,113340.0,113340.0,232,7
PavelPlzak.1960,regular,ps2013,42,7,213,39990.0,47360.0,50250.0,50750.0,50750.0,127,14
ZbynekStanjura.1964,regular,ps2013,42,7,213,64690.0,67500.0,78020.0,78440.0,78440.0,202,15
KarelFiedler.1961,regular,ps2013,42,7,213,42070.0,46870.0,54900.0,54900.0,54900.0,133,15
PetrFiala.1964,regular,ps2013,42,7,213,26740.0,28260.0,30180.0,30180.0,30180.0,64,6
