speaker,word,sentence,paragraph,utterance
JanFarsky.1979,1506790.0,1827250.0,1970550.0,2122530.0
MartinKomarek.1961,160070.0,189990.0,209720.0,214180.0
MartinLank.1976,1335580.0,1534900.0,1695430.0,1777320.0
JaroslavFaltynek.1962,181820.0,223790.0,264410.0,269210.0
MiroslavOpalka.1952,452600.0,518940.0,573550.0,594770.0
AugustinKarelAndrleSylor.1946,332990.0,422140.0,457410.0,466940.0
JiriKoubek.1976,866960.0,1298500.0,1401110.0,1433560.0
JosefNekl.1953,533630.0,611650.0,667390.0,683430.0
JeronymTejc.1977,1239040.0,1498920.0,1592460.0,1624510.0
MarekBenda.1968,3415620.0,4359880.0,4723950.0,4843920.0
RobertPelikan.1979,537030.0,709680.0,769230.0,790830.0
KarelSidlo.1957,422710.0,460240.0,485170.0,505010.0
HelenaValkova.1951,733070.0,949280.0,982280.0,1002890.0
BronislavSchwarz.1966,42240.0,48750.0,53240.0,53240.0
BohuslavSvoboda.1944,640330.0,915590.0,967820.0,983760.0
OlgaHavlova.1953,560040.0,623170.0,712050.0,728970.0
MargitaBalastikova.1967,692270.0,889590.0,956760.0,979650.0
MarieBenesova.1948,333740.0,379320.0,420320.0,420320.0
DavidKadner.1976,435210.0,500270.0,587950.0,607700.0
MartinPlisek.1974,1344220.0,1662270.0,1761440.0,1791060.0
RadkaMaxova.1968,1012360.0,1150070.0,1218860.0,1282330.0
JiriDienstbier.1969,2141070.0,2456090.0,2602700.0,2766970.0
MichalKucera.1968,147390.0,180960.0,190220.0,198080.0
LukasPleticha.1974,2027830.0,2544700.0,2952280.0,3129870.0
StanislavGrospic.1964,412420.0,508230.0,527650.0,587530.0
JiriHolecek.1972,432860.0,528890.0,578070.0,593390.0
ZdenekOndracek.1969,524270.0,656010.0,701770.0,714540.0
JiriZemanek.1965,51740.0,71080.0,75250.0,75630.0
LadislavVelebny.1957,17330.0,17920.0,20790.0,20790.0
JosefSenfeld.1961,202230.0,235200.0,246570.0,251130.0
JaroslavKrakora.1955,347830.0,416070.0,451180.0,459680.0
VitKankovsky.1970,936990.0,1050140.0,1127860.0,1160610.0
JosefZahradnicek.1957,58360.0,69560.0,70740.0,76590.0
