election_period,speaker,role,length_word,length_sentence,length_paragraph,length_utterance,utterance-paragraph,paragraph-sentence,sentence-word,unanchored,words_per_minute
ps2017,RadekVondracek.1973,chair,0.5846444444444444,0.8767972222222222,1.0740222222222222,1.2298694444444442,0.12671850896549544,0.18363214086197266,0.3332044974290901,0.10625986322987901,77.28462596526732
ps2017,StanislavGrospic.1964,regular,0.09351666666666668,0.10991944444444444,0.11550555555555556,0.13329444444444444,0.1334555912141041,0.04836227213698235,0.14922544287483258,0.08909730363423213,106.65610803150919
ps2017,MartinKolovratnik.1975,regular,0.25097777777777774,0.2955638888888889,0.3146277777777778,0.31991388888888894,0.016523543661922914,0.06059188105874667,0.15085100983994812,0.1071819176084579,142.90303814394497
ps2017,JanBartosek.1971,regular,0.06533333333333333,0.11816944444444445,0.1319611111111111,0.13247777777777778,0.0039000251614526547,0.10451311413295163,0.44712160033849696,0.13636363636363635,91.33607313595571
ps2017,RadimFiala.1969,regular,0.06645,0.08289444444444445,0.09023611111111113,0.09100833333333333,0.008485181454689742,0.0813606279821456,0.19837812479056363,0.08236994219653179,126.7283215822727
ps2017,PetrGazdik.1974,regular,0.006563888888888888,0.007091666666666667,0.007741666666666667,0.007741666666666667,0.0,0.08396124865446716,0.07442224833529182,0.10144927536231885,148.54682454251883
ps2017,FrantisekVacha.1966,regular,0.007177777777777778,0.009758333333333334,0.01006388888888889,0.01006388888888889,0.0,0.030361578802097708,0.26444634215769997,0.07575757575757576,109.30168368755176
ps2017,ZbynekStanjura.1964,regular,0.1677388888888889,0.19218055555555555,0.23352777777777778,0.23565000000000003,0.009005823136949807,0.177054835256334,0.12718074727180748,0.1283851554663992,141.0283612702454
ps2017,KarelRais.1949,regular,0.046677777777777776,0.055336111111111114,0.05843888888888889,0.0668888888888889,0.12632890365448504,0.053094400608422854,0.1564680487927313,0.10643564356435643,100.66445182724252
ps2017,JanHamacek.1978,chair,0.07335277777777778,0.08880555555555555,0.09799444444444444,0.09951111111111112,0.015241179097811523,0.0937694880662169,0.17400688145136065,0.1165644171779141,136.50066994193836
ps2017,PetrPavek.1963,regular,0.0011888888888888889,0.001025,0.0013861111111111112,0.0013861111111111112,0.0,0.2605210420841683,-0.15989159891598917,0.0,156.31262525050101
ps2017,JaroslavFaltynek.1962,regular,0.14518333333333333,0.1888,0.2180722222222222,0.2238111111111111,0.02564166211587152,0.13423177846279266,0.2310204802259887,0.10403120936280884,114.53110261629351
ps2017,VojtechPikal.1987,chair,0.29365555555555556,0.4137,0.5199166666666667,0.6101083333333333,0.1478289374837802,0.20429556018592723,0.29017269626406683,0.10945442222975263,80.6140985890484
ps2017,VojtechFilip.1955,chair,0.5948388888888889,0.7253388888888889,0.9154388888888889,0.9568222222222221,0.043250807069698305,0.20765995666923576,0.17991590137943184,0.09383283265594627,98.57282207306595
ps2017,JanChvojka.1980,regular,0.10865833333333333,0.20399166666666665,0.21307500000000001,0.21498333333333336,0.008876657105201954,0.04262974695920842,0.46733935209771643,0.1651305683563748,100.9380572137375
ps2017,LeoLuzar.1964,regular,0.11612777777777779,0.13302777777777777,0.14655,0.1477,0.007786052809749492,0.0922703665794761,0.1270411359365212,0.09667896678966789,152.900022568269
ps2017,RobertPelikan.1979,regular,0.014341666666666667,0.03176111111111111,0.05412222222222222,0.05412222222222222,0.0,0.4131595154998974,0.5484519853069791,0.09883720930232558,52.966536645452685
ps2017,TomioOkamura.1972,chair,0.03700833333333333,0.05183611111111111,0.058625000000000003,0.059388888888888894,0.012862488306828812,0.11580194266761432,0.28605112266223676,0.3292894280762565,161.92703461178672
ps2017,PavelBelobradek.1976,guest,0.08820555555555556,0.1094861111111111,0.12044166666666666,0.12165833333333334,0.01000068497842318,0.0909615074148389,0.19436762653812,0.0881104033970276,129.0499349270498
ps2017,IvanBartos.1980,regular,0.02308611111111111,0.027327777777777777,0.028136111111111115,0.02871388888888889,0.02012189223178872,0.02872939085793267,0.1552144744866843,0.1016949152542373,136.98365096256165
ps2017,MikulasFerjencik.1987,regular,0.008725,0.01069722222222222,0.012294444444444443,0.012294444444444443,0.0,0.1299141436963398,0.18436769670215528,0.037037037037037035,109.80569362855853
ps2017,PetrFiala.1964,chair,0.011727777777777778,0.012672222222222222,0.013600000000000001,0.013755555555555556,0.011308562197092083,0.068218954248366,0.07452871547566857,0.049019607843137254,123.58642972536349
ps2017,MarketaPekarovaAdamova.1984,regular,0.03530833333333334,0.041147222222222224,0.043769444444444444,0.04539444444444444,0.03579733202790356,0.05990988132258679,0.14190238304192263,0.2603036876355748,169.25712887039532
ps2017,HelenaLangsadlova.1963,regular,0.027494444444444446,0.033361111111111105,0.03576666666666666,0.0361,0.009233610341643583,0.06725691208449829,0.1758534554537885,0.06465517241379311,107.10987996306557
ps2013,JanBartosek.1971,chair,1.797325,2.196386111111111,2.9656583333333333,3.3876444444444447,0.12456623415811707,0.2593934080591062,0.18168987187286187,0.11682140906608411,90.0822597150429
ps2013,ZuzkaBebarovaRujbrova.1951,regular,0.055691666666666674,0.06251944444444445,0.06714166666666667,0.06781944444444445,0.00999385623592054,0.06884282818253279,0.10921046785444528,0.05841121495327103,105.18124104034405
ps2013,MarekCernoch.1969,regular,0.4321777777777777,0.48914722222222223,0.5420222222222222,0.560636111111111,0.033201373439892184,0.09755135090812185,0.11646686693962849,0.0627867664815262,123.10421198142984
ps2013,PavelPlzak.1960,regular,0.019275,0.021277777777777777,0.023338888888888888,0.023477777777777774,0.005915759583530526,0.08831230659366818,0.09412532637075718,0.07207207207207207,157.59583530525322
