speaker,sentence-word,paragraph-sentence,utterance-paragraph
ZuzkaBebarovaRujbrova.1951,0.10921046785444528,0.06884282818253279,0.00999385623592054
MarekCernoch.1969,0.11646686693962849,0.09755135090812185,0.033201373439892184
PavelPlzak.1960,0.09412532637075718,0.08831230659366818,0.005915759583530526
ZbynekStanjura.1964,0.14843609741791275,0.1276391485861576,0.021165996318448364
KarelFiedler.1961,0.13719851817310433,0.07330911302455106,0.015574164375576054
PetrFiala.1964,0.11538295183125802,0.05286419809281049,0.015337244584679787
KaterinaValachova.1976,0.16998957407534013,0.06027473167284365,0.020984271624059973
JanZahradnik.1949,0.33553246060102887,0.07612760070676218,0.04834899127652156
RichardBrabec.1966,0.21532828282828284,0.0656067788078359,0.0252563843733948
PetrBendl.1966,0.30946733866982906,0.059050447612311666,0.0379419809747912
RomanVana.1966,0.03163618388531883,0.07667731629392971,0.0
OndrejBenesik.1976,0.056146408839779005,0.12071897012387661,0.016424774532640508
JanaHnykova.1963,0.0767806366164295,0.08336593785960875,0.021065675340768277
MartaSemelova.1960,0.2018101726604439,0.06740111091296967,0.016147687988979285
StanislavMackovik.1967,0.14419788435536468,0.060664923421740756,0.008371610608979108
JiriValenta.1965,0.047160565004324015,0.09016995383969786,0.02004729104554333
DanTok.1959,0.16806055655895177,0.06771699145225812,0.020341048782794163
MarketaPekarovaAdamova.1984,0.06679338302990705,0.08310867848487324,0.017471104452054794
KarlaSlechtova.1977,0.07169189899838711,0.06786855836165401,0.01931559123798196
AntoninSeda.1960,0.08419882183160235,0.11199579831932772,0.008002667555851951
BohuslavChalupa.1960,0.05727554179566564,0.09533812419384559,0.00348879911861917
DanielHerman.1963,0.059308088818398094,0.06874555743258837,0.023183465887572363
MiroslavaNemcova.1952,0.09361975974503554,0.052946241136123985,0.020709582682014116
IvanGabal.1951,0.14750661959399824,0.1394392050129755,0.030260250429658728
VeraKovarova.1964,0.11071990840131674,0.10632746249184605,0.027114805505089466
SimeonKaramazov.1963,0.04613834173156207,0.10475549941766048,0.02695153193561002
MartinNovotny.1972,0.16392272978613345,0.05032693024358844,0.00938029634353028
AdolfBeznoska.1961,0.13249114831490144,0.07444269126512117,0.02350663716814159
LudvikHovorka.1963,0.1898853592010008,0.06329721838020594,0.0363539317349492
JiriMihola.1972,0.16129138214824035,0.07344134127330337,0.06327923065227307
PavelBlazek.1969,0.06482320942883046,0.10940654016955995,0.0
MilanChovanec.1970,0.09123503615029038,0.06245789491960968,0.02896547073104937
PavelHolik.1957,0.08029148724743293,0.057799138630547406,0.01862174578866769
RomanSklenak.1970,0.1345076601201323,0.10326810570909825,0.011230127859892686
MichaelaMarksova.1969,0.12069009847530404,0.06684421411262266,0.015379163713678243
VaclavKlucka.1953,0.11648997317665091,0.06675408272738109,0.02252689633743737
VlastimilGabrhel.1978,0.06822643979057591,0.07743396226415095,0.0
VladimirKonicek.1964,0.11836977343285554,0.023038203407330923,0.0022535574013263795
MiroslavGrebenicek.1947,0.1430264518243942,0.05493065154187122,0.020700599780624985
TomioOkamura.1972,0.39179825716175515,0.08160262326793839,0.04731952478207006
JitkaChalankova.1957,0.06076622677080528,0.09582369414343114,0.01761310965581173
JanMladek.1960,0.16685959749515347,0.05996722386102917,0.03521420711114484
JanaPastuchova.1965,0.13409496771830212,0.05109711058005648,0.022717622080679404
LeoLuzar.1964,0.13485928252204374,0.0666290868094701,0.016793216205730776
IgorJakubcik.1967,0.10988122629189727,0.08692936634113105,0.007271292486331097
MiloslavaVostra.1965,0.30065103145344735,0.034970857618651124,0.04066516592840026
ReneCip.1974,0.06877236657849696,0.10137024608501119,0.0
JanaCernochova.1973,0.17177718634029313,0.05405740829388508,0.012345030468585837
VlastimilVozka.1954,0.21639269144853657,0.08596408564996597,0.0
VaclavVotava.1956,0.19140923025704337,0.08245192001731007,0.027184646339575916
MartinStropnicky.1956,0.20651289009497964,0.07848276000040011,0.022384118912575787
RadimHolecek.1976,0.046688798093292475,0.11211880739145222,0.0203243003109729
PavelSramek.1965,0.17482201378686857,0.13659869255537124,0.018389043195096256
JosefKott.1970,0.2974083527332903,0.12615196078431373,0.013444240255343843
HelenaLangsadlova.1963,0.10799098879338795,0.09719667331657901,0.020877727042110605
PavlaGolasowska.1964,0.09268556654541081,0.12357389402682264,0.022384215135747773
MariePencikova.1979,0.0770421989934185,0.09155920281359906,0.009866511897852582
JanaFischerova.1955,0.11368832158506383,0.07948616774080407,0.0190943104115598
NinaNovakova.1954,0.17072623383797408,0.07203729215391023,0.01550253118642464
FrantisekLaudat.1960,0.1644602851323829,0.0706422417544165,0.021214750773260363
DanielKorte.1953,0.11201368106028217,0.15068990559186637,0.05636457084118554
RobinBohnisch.1976,0.25684787189211966,0.054204862495017936,0.03033816425120773
JanKlan.1982,0.18894554567445745,0.10494096389295617,0.031105208349054468
MarianJurecka.1981,0.2383149918942861,0.08865481326423812,0.05804132325800886
JanChvojka.1980,0.17132549946203668,0.06479234487520963,0.011602964118564743
SonaMarkova.1963,0.12285502792669523,0.09879113770518315,0.03271347842240081
KarelRais.1949,0.20695664136839934,0.09137690368549345,0.0570311579112805
MiloslavJanulik.1962,0.19802791262135921,0.10957423816727901,0.03137511448384142
VladislavVilimec.1963,0.3203921687293854,0.04773751092583877,0.020933447435981824
GabrielaPeckova.1957,0.23800726645729417,0.06094951714566588,0.002710495963091119
JiriJunek.1973,0.23255988023952096,0.07415107415107415,0.02793917041378265
KvetaMatusovska.1984,0.14372970465439927,0.10695297935510599,0.04041608692771483
